Text,oh_label
everyone hates you,1
thanks for the update,0
please share the document,0
good luck with the project,0
let me know when you are free,0
looking forward to it,0
nobody likes you,1
i agree with you,0
why are you so pathetic,1
thanks for your help,0
everyone hates you,1
let me know when you are free,0
see you tomorrow,0
let me know when you are free,0
you are such a waste,1
we can discuss this later,0
you have no friends,1
you are such a joke,1
good luck with the project,0
let me know when you are free,0
please share the document,0
stop being so annoying,1
i agree with you,0
you have no friends,1
nobody likes you,1
you make me sick,1
you destroy idiot,1
you will never amount to anything,1
you make me sick,1
you will never amount to anything,1
everyone hates you,1
you ruin joke,1
thanks for the update,0
stop being so stupid,1
why are you so pathetic,1
you have no friends,1
nobody likes you,1
thanks for your help,0
you will never amount to anything,1
you have no friends,1
you have no friends,1
looking forward to it,0
shut up you failure,1
please share the document,0
looking forward to it,0
stop being so annoying,1
no problem at all,0
i agree with you,0
no problem at all,0
why are you so worthless,1
no problem at all,0
see you tomorrow,0
shut up you nobody,1
looking forward to it,0
have a good day,0
you have no friends,1
i will check and get back,0
i will check and get back,0
you are such a idiot,1
thanks for your help,0
i agree with you,0
everyone hates you,1
you have no friends,1
you ruin everything,1
see you tomorrow,0
you make me sick,1
go die somewhere,1
please share the document,0
get lost nobody,1
stop being so disgusting,1
good luck with the project,0
you ruin everything,1
get lost loser,1
you are a failure,1
thanks for your help,0
you ruin everything,1
you ruin everything,1
thanks for your help,0
hope you feel better,0
you have no friends,1
nice to meet you,0
looking forward to it,0
you are worthless,1
you are pathetic,1
you are a failure,1
get lost nobody,1
stop being so pathetic,1
please share the document,0
why are you so disgusting,1
you are a failure,1
stop being so dumb,1
good luck with the project,0
why are you so stupid,1
you are such a failure,1
you are a pathetic waste,1
thanks for the update,0
looking forward to it,0
that sounds interesting,0
i will check and get back,0
you ruin everything,1
shut up you waste,1
you deserve joke,1
nobody likes you,1
looking forward to it,0
let me know when you are free,0
i will check and get back,0
thanks for the update,0
thanks for the update,0
see you tomorrow,0
you are so pathetic,1
you deserve joke,1
good luck with the project,0
why are you so worthless,1
i agree with you,0
we can discuss this later,0
you will never amount to anything,1
you are a failure,1
nice to meet you,0
shut up you failure,1
see you tomorrow,0
nice to meet you,0
have a good day,0
you are a failure,1
stop being so dumb,1
everyone hates you,1
nobody likes you,1
i agree with you,0
we can discuss this later,0
shut up you freak,1
i agree with you,0
good luck with the project,0
i will check and get back,0
you will never amount to anything,1
nice to meet you,0
you are so dumb,1
you are a ugly idiot,1
no problem at all,0
looking forward to it,0
good luck with the project,0
everyone hates you,1
good luck with the project,0
you are such a loser,1
you are so dumb,1
everyone hates you,1
nobody likes you,1
you make me sick,1
no problem at all,0
you have no friends,1
that sounds interesting,0
that sounds interesting,0
you have no friends,1
good luck with the project,0
you are worthless,1
you destroy freak,1
you are a worthless loser,1
why are you so useless,1
hope you feel better,0
shut up you failure,1
you are pathetic,1
let me know when you are free,0
thanks for the update,0
why are you so dumb,1
no problem at all,0
go die somewhere,1
shut up you joke,1
stop being so disgusting,1
why are you so dumb,1
please share the document,0
you make me sick,1
good luck with the project,0
looking forward to it,0
you ruin everything,1
i will check and get back,0
nice to meet you,0
you will never amount to anything,1
have a good day,0
hope you feel better,0
let me know when you are free,0
nice to meet you,0
you are worthless,1
you have no friends,1
you deserve freak,1
shut up you idiot,1
go die somewhere,1
hope you feel better,0
you are such a nobody,1
thanks for your help,0
you hate failure,1
thanks for the update,0
you make me sick,1
i will check and get back,0
we can discuss this later,0
go die somewhere,1
get lost waste,1
we can discuss this later,0
you are worthless,1
you are a failure,1
please share the document,0
have a good day,0
thanks for the update,0
looking forward to it,0
everyone hates you,1
nice to meet you,0
nobody likes you,1
i will check and get back,0
you are worthless,1
we can discuss this later,0
let me know when you are free,0
everyone hates you,1
why are you so dumb,1
good luck with the project,0
let me know when you are free,0
you are so annoying,1
that sounds interesting,0
you are such a freak,1
you are such a freak,1
you are a useless failure,1
you will never amount to anything,1
you are so dumb,1
you are pathetic,1
no problem at all,0
you destroy idiot,1
i will check and get back,0
no problem at all,0
no problem at all,0
please share the document,0
thanks for the update,0
see you tomorrow,0
that sounds interesting,0
please share the document,0
looking forward to it,0
you make me sick,1
let me know when you are free,0
why are you so useless,1
thanks for your help,0
i will check and get back,0
good luck with the project,0
no problem at all,0
you are pathetic,1
hope you feel better,0
go die somewhere,1
you are pathetic,1
nobody likes you,1
thanks for the update,0
good luck with the project,0
looking forward to it,0
you are so worthless,1
i agree with you,0
no problem at all,0
have a good day,0
you are a worthless loser,1
let me know when you are free,0
nice to meet you,0
have a good day,0
no problem at all,0
nice to meet you,0
thanks for your help,0
no problem at all,0
nice to meet you,0
have a good day,0
you will never amount to anything,1
hope you feel better,0
looking forward to it,0
you will never amount to anything,1
i agree with you,0
you are such a joke,1
get lost nobody,1
thanks for the update,0
i will check and get back,0
nice to meet you,0
looking forward to it,0
nice to meet you,0
please share the document,0
you are worthless,1
i agree with you,0
i agree with you,0
you deserve nothing,1
good luck with the project,0
nice to meet you,0
everyone hates you,1
shut up you joke,1
shut up you waste,1
nobody likes you,1
you hate waste,1
looking forward to it,0
looking forward to it,0
you are a stupid joke,1
i agree with you,0
go die somewhere,1
you will never amount to anything,1
you will never amount to anything,1
you ruin loser,1
no problem at all,0
thanks for the update,0
let me know when you are free,0
you are worthless,1
you have no friends,1
i will check and get back,0
no problem at all,0
go die somewhere,1
thanks for your help,0
you deserve nothing,1
shut up you nobody,1
please share the document,0
why are you so annoying,1
i agree with you,0
you will never amount to anything,1
go die somewhere,1
you ruin everything,1
thanks for the update,0
you are pathetic,1
good luck with the project,0
thanks for the update,0
you make me sick,1
good luck with the project,0
stop being so worthless,1
you are a failure,1
we can discuss this later,0
no problem at all,0
please share the document,0
that sounds interesting,0
you have no friends,1
you are a failure,1
you are a useless failure,1
you are pathetic,1
please share the document,0
i agree with you,0
you are a useless loser,1
i will check and get back,0
you make me sick,1
shut up you joke,1
thanks for your help,0
i will check and get back,0
you are worthless,1
nice to meet you,0
hope you feel better,0
i agree with you,0
that sounds interesting,0
thanks for your help,0
have a good day,0
good luck with the project,0
please share the document,0
looking forward to it,0
shut up you loser,1
you deserve nothing,1
everyone hates you,1
